"","monthYear","AvgPrice","monthNumber"
"1","201108",5850000,1
"2","201109",6255310.05714286,2
"3","201110",5667466.1027027,3
"4","201111",6140269.11627907,4
"5","201112",5812806.35714286,5
"6","201201",6967014.8963964,6
"7","201202",6815771.13851351,7
"8","201203",6789860.01910828,8
"9","201204",6720821.31889764,9
"10","201205",7393948.92857143,10
"11","201206",7180537.76666667,11
"12","201207",6342624.35240964,12
"13","201208",6165646.02564103,13
"14","201209",6449854,14
"15","201210",5837659.08851675,15
"16","201211",5642412.1589404,16
"17","201212",5529669.43723849,17
"18","201301",6213297.29257642,18
"19","201302",6190382.12107623,19
"20","201303",6560774.5390625,20
"21","201304",6452142.60227273,21
"22","201305",6102472.93541203,22
"23","201306",6692732.24887892,23
"24","201307",6780649.94071763,24
"25","201308",6696938.99249531,25
"26","201309",6922997.57438795,26
"27","201310",6766038.31794195,27
"28","201311",6928066.81624501,28
"29","201312",7088935.07741935,29
"30","201401",7100582.23140496,30
"31","201402",7168001.3014553,31
"32","201403",7318832.70519099,32
"33","201404",7578128.91934006,33
"34","201405",7662245.61489362,34
"35","201406",7144206.23943662,35
"36","201407",7299788.15939597,36
"37","201408",7702096.24017467,37
"38","201409",7928370.13621622,38
"39","201410",7299666.62763713,39
"40","201411",7372430.79287091,40
"41","201412",7771077.90523338,41
"42","201501",8407421.0867052,42
"43","201502",8040201.61707317,43
"44","201503",8501841.84716981,44
"45","201504",8057189.24251969,45
"46","201505",8210895.88864629,46
"47","201506",8091600.95252226,47
