id,timestamp,full_sq,life_sq,floor,max_floor,material,build_year,num_room,kitch_sq,state,product_type,sub_area,area_m,raion_popul,green_zone_part,indust_part,children_preschool,preschool_quota,preschool_education_centers_raion,children_school,school_quota,school_education_centers_raion,school_education_centers_top_20_raion,hospital_beds_raion,healthcare_centers_raion,university_top_20_raion,sport_objects_raion,additional_education_raion,culture_objects_top_25,culture_objects_top_25_raion,shopping_centers_raion,office_raion,thermal_power_plant_raion,incineration_raion,oil_chemistry_raion,radiation_raion,railroad_terminal_raion,big_market_raion,nuclear_reactor_raion,detention_facility_raion,price_doc
8290,6/3/2013,77,50,3,5,2,1957,3,8,2,Investment,Ajeroport,4662813.069,73007,0.109947031,0.050272014,4348,2058,3,4231,4975,6,1,1020,0,1,4,3,no,0,3,14,no,no,no,no,no,no,no,no,11700000
9569,8/1/2013,63,35,8,9,2,1976,2,9,2,Investment,Ajeroport,4662813.069,73007,0.109947031,0.050272014,4348,2058,3,4231,4975,6,1,1020,0,1,4,3,no,0,3,14,no,no,no,no,no,no,no,no,13500000
11068,10/8/2013,64,43,5,9,1,1968,3,6,2,Investment,Ajeroport,4662813.069,73007,0.109947031,0.050272014,4348,2058,3,4231,4975,6,1,1020,0,1,4,3,no,0,3,14,no,no,no,no,no,no,no,no,10500000
11544,10/24/2013,31,17,1,9,2,1964,1,6,2,Investment,Ajeroport,4662813.069,73007,0.109947031,0.050272014,4348,2058,3,4231,4975,6,1,1020,0,1,4,3,no,0,3,14,no,no,no,no,no,no,no,no,5500000
11786,11/2/2013,55,40,2,5,2,1961,3,5,2,Investment,Ajeroport,4662813.069,73007,0.109947031,0.050272014,4348,2058,3,4231,4975,6,1,1020,0,1,4,3,no,0,3,14,no,no,no,no,no,no,no,no,9300000
11876,11/6/2013,45,28,5,5,2,1961,2,5,2,Investment,Ajeroport,4662813.069,73007,0.109947031,0.050272014,4348,2058,3,4231,4975,6,1,1020,0,1,4,3,no,0,3,14,no,no,no,no,no,no,no,no,6500000
12211,11/15/2013,37,22,4,9,5,1964,2,7,4,Investment,Ajeroport,4662813.069,73007,0.109947031,0.050272014,4348,2058,3,4231,4975,6,1,1020,0,1,4,3,no,0,3,14,no,no,no,no,no,no,no,no,2000000
12817,12/5/2013,55,33,5,5,2,1956,2,7,2,Investment,Ajeroport,4662813.069,73007,0.109947031,0.050272014,4348,2058,3,4231,4975,6,1,1020,0,1,4,3,no,0,3,14,no,no,no,no,no,no,no,no,10400000
12823,12/5/2013,54,36,4,5,2,1961,3,5,2,Investment,Ajeroport,4662813.069,73007,0.109947031,0.050272014,4348,2058,3,4231,4975,6,1,1020,0,1,4,3,no,0,3,14,no,no,no,no,no,no,no,no,9000000
12871,12/6/2013,32,20,2,8,2,1960,1,5,3,Investment,Ajeroport,4662813.069,73007,0.109947031,0.050272014,4348,2058,3,4231,4975,6,1,1020,0,1,4,3,no,0,3,14,no,no,no,no,no,no,no,no,6700000
